MODE_DSC,CARRIER_TYPE,FREIGHT_RATES_ID,PORTCARRIER_ID
AIR,V888888883_1,57966,63257
AIR,V888888883_1,57967,63257
AIR,V888888883_1,57968,63257
AIR,V888888883_1,57969,63257
AIR,V888888883_1,57970,63257
AIR,V888888883_1,57971,63257
AIR,V888888883_1,57972,63257
AIR,V888888883_1,57973,63257
AIR,V888888883_1,57974,63257
AIR,V888888883_1,57975,63257
AIR,V888888883_1,57976,63257
AIR,V888888883_1,57977,63257
AIR,V888888883_1,57978,63257
AIR,V888888883_1,57979,63257
AIR,V888888883_1,57980,63257
AIR,V888888883_1,57981,63257
AIR,V888888883_1,57982,63257
AIR,V888888883_1,57983,63257
AIR,V888888883_1,57984,63257
AIR,V888888883_1,57985,63257
AIR,V888888883_1,57986,63257
AIR,V888888883_1,57987,63257
AIR,V888888883_1,57988,63257
AIR,V888888883_1,57989,63257
AIR,V888888883_1,57990,63257
AIR,V888888883_1,57991,63257
AIR,V888888883_1,57992,63257
AIR,V888888883_1,57993,63257
AIR,V888888883_1,57994,63257
AIR,V888888883_1,57995,63257
AIR,V888888883_1,57996,63257
AIR,V888888883_1,57997,63257
AIR,V888888883_1,57998,63257
AIR,V888888883_1,57999,63257
AIR,V888888883_1,58000,63257
AIR,V888888883_1,58001,63257
AIR,V888888883_1,58002,63257
AIR,V888888883_1,58003,63257
AIR,V888888883_1,58004,63257
AIR,V888888883_1,58005,63257
AIR,V888888883_1,58006,63257
AIR,V888888883_1,58007,63257
AIR,V888888883_1,58008,63257
AIR,V888888883_1,58009,63257
AIR,V888888883_1,58010,63257
AIR,V888888883_1,58011,63257
AIR,V888888883_1,58012,63257
AIR,V888888883_1,58101,63257
AIR,V888888883_1,58102,63257
AIR,V888888883_1,58103,63257
AIR,V888888883_1,58104,63257
AIR,V888888883_1,58105,63257
AIR,V888888883_1,58106,63257
AIR,V888888883_1,58107,63257
AIR,V888888883_1,58108,63257
AIR,V888888883_1,58109,63257
AIR,V888888883_1,58110,63257
AIR,V888888883_1,58111,63257
AIR,V888888883_1,58112,63257
AIR,V888888883_1,58113,63257
AIR,V888888883_1,58114,63257
AIR,V888888883_1,58115,63257
AIR,V888888883_1,58116,63257
AIR,V888888883_1,58117,63257
AIR,V888888883_1,58118,63257
AIR,V888888883_1,58119,63257
AIR,V888888883_1,58120,63257
AIR,V888888883_1,58121,63257
AIR,V888888883_1,58122,63257
AIR,V888888883_1,58123,63257
AIR,V888888883_1,58124,63257
AIR,V888888883_1,58125,63257
AIR,V888888883_1,58126,63257
AIR,V888888883_1,58127,63257
AIR,V888888883_1,58128,63257
AIR,V888888883_1,58129,63257
AIR,V888888883_1,58130,63257
AIR,V888888883_1,58131,63257
AIR,V888888883_1,58132,63257
AIR,V888888883_1,58133,63257
AIR,V888888883_1,58134,63257
AIR,V888888883_1,58135,63257
AIR,V888888883_1,58136,63257
AIR,V888888883_1,58137,63257
AIR,V888888883_1,58138,63257
AIR,V888888883_1,58139,63257
